iter	Passed	Remaining
0	1	123
1	2	126
2	3	123
3	5	127
4	6	128
5	8	134
6	10	140
7	12	140
8	13	138
9	15	137
10	16	136
11	18	134
12	19	132
13	21	129
14	22	126
15	23	125
16	25	122
17	26	120
18	27	117
19	28	115
20	30	113
21	31	111
22	32	109
23	33	107
24	35	105
25	36	103
26	38	102
27	39	101
28	40	99
29	41	97
30	43	95
31	44	94
32	45	92
33	46	91
34	48	89
35	49	87
36	50	86
37	52	84
38	53	83
39	54	81
40	55	80
41	57	78
42	58	77
43	59	75
44	60	73
45	61	72
46	62	71
47	64	69
48	65	67
49	66	66
50	67	65
51	69	63
52	70	62
53	71	60
54	72	59
55	73	57
56	75	56
57	76	55
58	78	54
59	80	53
60	82	52
61	83	51
62	84	49
63	85	48
64	87	46
65	88	45
66	89	44
67	91	42
68	92	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	34
74	100	33
75	101	32
76	103	30
77	104	29
78	105	28
79	106	26
80	107	25
81	108	23
82	110	22
83	111	21
84	112	19
85	113	18
86	114	17
87	116	15
88	117	14
89	118	13
90	120	11
91	121	10
92	122	9
93	123	7
94	125	6
95	126	5
96	127	3
97	129	2
98	130	1
99	131	0
