iter	Passed	Remaining
0	294	294219
1	341	170416
2	343	114239
3	347	86483
4	352	70232
5	357	59216
6	360	51151
7	362	44979
8	368	40583
9	376	37284
10	380	34240
11	389	32082
12	392	29821
13	415	29292
14	420	27622
15	423	26066
16	428	24748
17	431	23542
18	441	22797
19	444	21785
20	448	20926
21	451	20075
22	456	19408
23	460	18745
24	463	18063
25	466	17464
26	468	16885
27	472	16405
28	474	15889
29	479	15502
30	483	15113
31	486	14720
32	489	14351
33	492	13982
34	498	13731
35	500	13403
36	503	13109
37	507	12843
38	528	13016
39	535	12843
40	541	12675
41	579	13215
42	581	12933
43	589	12808
44	619	13156
45	628	13043
46	632	12833
47	637	12651
48	644	12517
49	647	12298
50	651	12115
51	658	11999
52	661	11826
53	664	11640
54	668	11481
55	671	11325
56	677	11214
57	682	11092
58	686	10944
59	694	10885
60	701	10797
61	708	10717
62	713	10618
63	720	10539
64	727	10465
65	731	10353
66	738	10279
67	743	10195
68	747	10084
69	751	9985
70	758	9929
71	764	9848
72	775	9846
73	780	9762
74	791	9761
75	793	9652
76	796	9547
77	806	9532
78	808	9428
79	811	9329
80	817	9277
81	822	9210
82	825	9116
83	834	9096
84	841	9059
85	848	9015
86	853	8953
87	858	8892
88	861	8819
89	867	8767
90	873	8728
91	893	8815
92	907	8854
93	916	8836
94	922	8790
95	928	8745
96	932	8678
97	937	8629
98	940	8557
99	972	8751
100	980	8727
101	986	8681
102	1084	9441
103	1087	9367
104	1101	9384
105	1108	9349
106	1113	9294
107	1128	9321
108	1131	9253
109	1135	9189
110	1141	9138
111	1143	9069
112	1153	9050
113	1155	8978
114	1160	8927
115	1166	8891
116	1173	8853
117	1184	8854
118	1188	8798
119	1199	8794
120	1202	8735
121	1208	8698
122	1213	8648
123	1218	8610
124	1225	8576
125	1265	8777
126	1283	8822
127	1296	8835
128	1300	8779
129	1308	8757
130	1319	8753
131	1324	8708
132	1330	8672
133	1340	8665
134	1345	8621
135	1351	8586
136	1355	8539
137	1360	8498
138	1366	8461
139	1369	8409
140	1371	8356
141	1373	8300
142	1376	8247
143	1379	8202
144	1387	8178
145	1390	8133
146	1393	8087
147	1396	8038
148	1398	7988
149	1401	7940
150	1404	7897
151	1411	7873
152	1422	7874
153	1436	7890
154	1439	7847
155	1441	7799
156	1443	7749
157	1445	7704
158	1452	7683
159	1459	7660
160	1460	7611
161	1464	7577
162	1467	7534
163	1470	7495
164	1475	7465
165	1480	7435
166	1483	7398
167	1485	7356
168	1488	7318
169	1490	7275
170	1493	7238
171	1495	7200
172	1500	7174
173	1504	7141
174	1511	7124
175	1514	7090
176	1519	7063
177	1523	7034
178	1527	7004
179	1531	6978
180	1533	6939
181	1538	6913
182	1544	6896
183	1561	6926
184	1563	6887
185	1565	6850
186	1570	6829
187	1574	6798
188	1577	6769
189	1579	6734
190	1588	6726
191	1592	6701
192	1624	6792
193	1627	6760
194	1631	6734
195	1634	6704
196	1637	6672
197	1640	6644
198	1646	6629
199	1649	6598
200	1652	6566
201	1657	6548
202	1663	6532
203	1671	6521
204	1674	6495
205	1677	6467
206	1687	6463
207	1693	6449
208	1700	6434
209	1703	6410
210	1707	6386
211	1709	6355
212	1714	6334
213	1716	6304
214	1718	6273
215	1719	6242
216	1721	6212
217	1723	6181
218	1726	6157
219	1728	6128
220	1733	6111
221	1738	6092
222	1743	6076
223	1746	6050
224	1750	6027
225	1752	6001
226	1755	5979
227	1759	5959
228	1764	5941
229	1769	5924
230	1772	5900
231	1776	5879
232	1779	5857
233	1784	5841
234	1797	5850
235	1803	5838
236	1805	5811
237	1806	5783
238	1808	5756
239	1815	5747
240	1840	5796
241	1910	5983
242	1918	5977
243	1923	5958
244	1925	5934
245	1940	5948
246	1948	5938
247	1951	5917
248	1954	5895
249	1956	5869
250	1958	5844
251	1962	5825
252	1976	5835
253	1983	5826
254	1986	5803
255	1988	5780
256	1992	5760
257	1994	5736
258	1997	5714
259	2004	5703
260	2007	5685
261	2014	5673
262	2019	5659
263	2022	5637
264	2027	5622
265	2028	5597
266	2042	5607
267	2047	5592
268	2054	5582
269	2058	5564
270	2064	5554
271	2069	5537
272	2071	5515
273	2073	5493
274	2075	5472
275	2078	5451
276	2080	5431
277	2085	5415
278	2087	5395
279	2089	5372
280	2091	5350
281	2093	5330
282	2097	5314
283	2099	5293
284	2101	5273
285	2103	5252
286	2108	5237
287	2110	5217
288	2115	5204
289	2118	5185
290	2121	5168
291	2123	5148
292	2130	5141
293	2147	5156
294	2155	5152
295	2163	5145
296	2165	5125
297	2169	5110
298	2174	5098
299	2178	5082
300	2180	5063
301	2185	5051
302	2187	5032
303	2189	5013
304	2191	4993
305	2195	4979
306	2198	4962
307	2201	4945
308	2204	4930
309	2206	4911
310	2208	4893
311	2214	4883
312	2216	4864
313	2218	4847
314	2221	4831
